Predicted	Actual
[start] Khoitam kʰ ə [end]	[start] Khoitam kʰ [end]
[start] Khoitam tʰ u ŋ [end]	[start] Khoitam tʰ u ŋ [end]
[start] Khoitam b yː [end]	[start] Khoitam b yː [end]
[start] Khoitam n a m [end]	[start] Khoitam n a m [end]
[start] Khoitam b yː [end]	[start] Khoitam b yː [end]
[start] Khoitam tɕʰ i k [end]	[start] Khoitam tɕʰ eˀ [end]
[start] Khoitam pʰ ə [end]	[start] Khoitam pʰ [end]
[start] Khoitam tɕʰ ɛː [end]	[start] Khoitam tɕʰ ɛː [end]
[start] Khoitam m ũː ŋ [end]	[start] Khoitam m ũː [end]
[start] Khoitam tɕʰ a k [end]	[start] Khoitam tɕʰ a k [end]
[start] Khoitam j ɔˀ [end]	[start] Khoitam j ɔˀ [end]
[start] Khoitam n ɔ̃ [end]	[start] Khoitam n ɔ̃ [end]
[start] Khoitam b eˀ [end]	[start] Khoitam b ɛˀ [end]
[start] Khoitam r ɔː [end]	[start] Khoitam r ɔː [end]
[start] Khoitam g ɛ k [end]	[start] Khoitam dʑ ɛ k [end]
[start] Khoitam tʰ a k [end]	[start] Khoitam tʰ a k [end]
[start] Khoitam tɕʰ i k [end]	[start] Khoitam tɕʰ eˀ [end]
[start] Khoitam m a m [end]	[start] Khoitam m a [end]
[start] Khoitam b u ŋ [end]	[start] Khoitam b u ŋ [end]
[start] Khoitam d ə [end]	[start] Khoitam d ə [end]
[start] Khoitam m yː [end]	[start] Khoitam m yː [end]
[start] Khoitam u [end]	[start] Khoitam a [end]
[start] Khoitam l y ŋ [end]	[start] Khoitam l i ŋ [end]
[start] Khoitam tɕ i k [end]	[start] Khoitam tɕ i k [end]
[start] Khoitam n i [end]	[start] Khoitam n iː [end]
[start] Khoitam s iː [end]	[start] Khoitam s [end]
[start] Khoitam iː [end]	[start] Khoitam iː [end]
[start] Khoitam r ɛ [end]	[start] Khoitam r ɛ [end]
[start] Khoitam tʰ ɛː [end]	[start] Khoitam tʰ ɛː [end]
[start] Khoitam k ɔː [end]	[start] Khoitam k ɔː [end]
[start] Khoitam b a n [end]	[start] Khoitam b a n [end]
[start] Khoitam n i ŋ [end]	[start] Khoitam l i ŋ [end]
[start] Khoitam ɔ̃ː [end]	[start] Khoitam ɔ̃ː [end]
[start] Khoitam g ə [end]	[start] Khoitam kʰ [end]
[start] Khoitam tʰ y ŋ [end]	[start] Khoitam tʰ y ŋ [end]
[start] Khoitam tɕʰ u [end]	[start] Khoitam tɕʰ u [end]
[start] Khoitam u [end]	[start] Khoitam a [end]
[start] Khoitam b a n [end]	[start] Khoitam m ə [end]
[start] Khoitam tʰ oː [end]	[start] Khoitam tʰ oː [end]
[start] Khoitam s a ɹ [end]	[start] Khoitam s a ɹ [end]
[start] Rahung g uː [end]	[start] Rahung g uː [end]
[start] Rahung n ɛː [end]	[start] Rahung n a [end]
[start] Rahung tʰ i k [end]	[start] Rahung tʰ ɛ k [end]
[start] Rahung n a ŋ [end]	[start] Rahung n a ŋ [end]
[start] Rahung dʑ i [end]	[start] Rahung dʑ i [end]
[start] Rahung l ɔ [end]	[start] Rahung r ɔ [end]
[start] Rahung u [end]	[start] Rahung a [end]
[start] Rahung s ɛː [end]	[start] Rahung s ɛˀ [end]
[start] Rahung kʰ y ŋ [end]	[start] Rahung kʰ y ŋ [end]
[start] Rahung dʑ ɔ k [end]	[start] Rahung dʑ ɔ k [end]
[start] Rahung tɕʰ ɔ [end]	[start] Rahung tɕʰ a [end]
[start] Rahung pʰ l u [end]	[start] Rahung pʰ r u [end]
[start] Rahung pʰ l ɔː [end]	[start] Rahung pʰ ɹ uˀ [end]
[start] Rahung m ɛˀ [end]	[start] Rahung m ɛˀ [end]
[start] Rahung pʰ u k [end]	[start] Rahung pʰ u k [end]
[start] Rahung d u [end]	[start] Rahung d a [end]
[start] Rahung l ɔ [end]	[start] Rahung pʰ l ɔː [end]
[start] Rahung pʰ a m [end]	[start] Rahung pʰ a m [end]
[start] Rahung s a [end]	[start] Rahung s [end]
[start] Rahung t u ŋ [end]	[start] Rahung t u ŋ [end]
[start] Rahung d u [end]	[start] Rahung d u [end]
[start] Rahung a [end]	[start] Rahung ə [end]
[start] Rahung tʰ ɔ k [end]	[start] Rahung tʰ ɔ k [end]
[start] Rahung s ə [end]	[start] Rahung s ə [end]
[start] Rahung r i ŋ [end]	[start] Rahung r i ŋ [end]
[start] Rahung m ə [end]	[start] Rahung m ə [end]
[start] Rahung kʰ a k [end]	[start] Rahung kʰ a k [end]
[start] Rahung a [end]	[start] Rahung a [end]
[start] Rahung d ɔ k [end]	[start] Rahung d ɔ k [end]
[start] Rahung h uː [end]	[start] Rahung h uː [end]
[start] Rahung tɕʰ a k [end]	[start] Rahung tɕʰ a k [end]
[start] Rahung tɕʰ ũː ŋ [end]	[start] Rahung tɕʰ ũː [end]
[start] Rahung h ɛː [end]	[start] Rahung h ɛː [end]
[start] Rahung w i k [end]	[start] Rahung m i k [end]
[start] Rahung s a [end]	[start] Rahung s [end]
[start] Rahung kʰ ɛ n [end]	[start] Rahung kʰ a n [end]
[start] Rahung k y k [end]	[start] Rahung k i k [end]
[start] Rahung r i [end]	[start] Rahung r i [end]
[start] Rahung n yː [end]	[start] Rahung n yː [end]
[start] Rahung pʰ a ŋ [end]	[start] Rahung pʰ a ŋ [end]
[start] Rahung n y ŋ [end]	[start] Rahung n y ŋ [end]
[start] Rahung b y k [end]	[start] Rahung b y k [end]
[start] Rahung t ø n [end]	[start] Rahung tʰ yː [end]
[start] Rahung r ɛː [end]	[start] Rahung r ɛː [end]
[start] Rahung m uː [end]	[start] Rahung m uː [end]
[start] Rahung g ə [end]	[start] Rahung kʰ a n [end]
[start] Rahung tɕ i ŋ [end]	[start] Rahung tɕ i ŋ [end]
[start] Rahung h ɛ [end]	[start] Rahung h ɛ [end]
[start] Rahung m ɔ̃ː [end]	[start] Rahung m ɔ̃ː [end]
[start] Rahung tɕʰ ɛː [end]	[start] Rahung tɕʰ ɛː [end]
[start] Rahung kʰ a n [end]	[start] Rahung kʰ a n [end]
[start] Rahung tɕʰ i [end]	[start] Rahung tɕʰ i [end]
[start] Rahung kʰ ə [end]	[start] Rahung kʰ a n [end]
[start] Rahung tʰ u ŋ [end]	[start] Rahung tʰ u ŋ [end]
[start] Rahung b yː [end]	[start] Rahung b yː [end]
[start] Rahung n a m [end]	[start] Rahung n a m [end]
[start] Rahung b yː [end]	[start] Rahung b yː [end]
[start] Rahung tɕʰ eː [end]	[start] Rahung tɕʰ eˀ [end]
[start] Rahung pʰ ə [end]	[start] Rahung pʰ [end]
[start] Rahung tɕʰ ɛː [end]	[start] Rahung tɕʰ ɛː [end]
[start] Rahung m ũː ŋ [end]	[start] Rahung m ɔ ŋ [end]
[start] Rahung tɕʰ a k [end]	[start] Rahung tɕʰ a k [end]
[start] Rahung j ɔˀ [end]	[start] Rahung j ɔˀ [end]
[start] Rahung n ɔ̃ [end]	[start] Rahung n ɔ̃ [end]
[start] Rahung b ɛˀ [end]	[start] Rahung b ɛˀ [end]
[start] Rahung r oː [end]	[start] Rahung r oː [end]
[start] Rahung g ɛ k [end]	[start] Rahung dʑ ɛ k [end]
[start] Rahung tʰ a k [end]	[start] Rahung tʰ a k [end]
[start] Rahung tɕʰ eː [end]	[start] Rahung tɕʰ eˀ [end]
[start] Rahung m a m [end]	[start] Rahung m a [end]
[start] Rahung b u ŋ [end]	[start] Rahung b u ŋ [end]
[start] Rahung d a [end]	[start] Rahung d ə [end]
[start] Rahung m yː [end]	[start] Rahung m yː [end]
[start] Rahung u [end]	[start] Rahung a [end]
[start] Rahung l a n [end]	[start] Rahung n i n [end]
[start] Rahung tɕ i k [end]	[start] Rahung tɕ i k [end]
[start] Rahung n iː [end]	[start] Rahung n ə [end]
[start] Rahung s iː [end]	[start] Rahung s [end]
[start] Rahung iː [end]	[start] Rahung iː [end]
[start] Rahung r ɛ [end]	[start] Rahung r ɛ [end]
[start] Rahung tʰ ɛː [end]	[start] Rahung tʰ ɛː [end]
[start] Rahung k oː [end]	[start] Rahung k oː [end]
[start] Rahung b ɛ n [end]	[start] Rahung b a n [end]
[start] Rahung n i ŋ [end]	[start] Rahung l i ŋ [end]
[start] Rahung ɔ̃ː [end]	[start] Rahung ɔ̃ː [end]
[start] Rahung kʰ ə [end]	[start] Rahung kʰ [end]
[start] Rahung tʰ y ŋ [end]	[start] Rahung tʰ y ŋ [end]
[start] Rahung tɕʰ u [end]	[start] Rahung tɕʰ u [end]
[start] Rahung a [end]	[start] Rahung a [end]
[start] Rahung m a n [end]	[start] Rahung pʰ [end]
[start] Rahung tʰ oː [end]	[start] Rahung tʰ oː [end]
[start] Rahung s a ɹ [end]	[start] Rahung s a ɹ [end]
[start] Rupa g uː [end]	[start] Rupa g uː [end]
[start] Rupa n a [end]	[start] Rupa n aː [end]
[start] Rupa tʰ i k [end]	[start] Rupa tʰ i k [end]
[start] Rupa n a ŋ [end]	[start] Rupa n a ŋ [end]
[start] Rupa dʑ i [end]	[start] Rupa dʑ i [end]
[start] Rupa r ɔ [end]	[start] Rupa l ɔ [end]
[start] Rupa u [end]	[start] Rupa a [end]
[start] Rupa s aː [end]	[start] Rupa s aː [end]
[start] Rupa kʰ y ŋ [end]	[start] Rupa kʰ y ŋ [end]
[start] Rupa dʑ ɔ k [end]	[start] Rupa ʥ ɔ k [end]
[start] Rupa ʨʰ ɔ [end]	[start] Rupa tɕʰ a [end]
[start] Rupa pʰ l u [end]	[start] Rupa pʰ l u [end]
[start] Rupa pʰ l au [end]	[start] Rupa pʰ l uˀ [end]
[start] Rupa m aˀ [end]	[start] Rupa m aˀ [end]
[start] Rupa pʰ u k [end]	[start] Rupa pʰ u k [end]
[start] Rupa d u [end]	[start] Rupa d ə [end]
[start] Rupa l ɔ [end]	[start] Rupa pʰ l ɔː [end]
[start] Rupa pʰ u ŋ [end]	[start] Rupa pʰ a m [end]
[start] Rupa s ə [end]	[start] Rupa s [end]
[start] Rupa t u ŋ [end]	[start] Rupa t u ŋ [end]
[start] Rupa d u [end]	[start] Rupa d u [end]
[start] Rupa ə [end]	[start] Rupa a [end]
[start] Rupa tʰ ɔ k [end]	[start] Rupa tʰ ɔ k [end]
[start] Rupa s ə [end]	[start] Rupa s ə [end]
[start] Rupa r i ŋ [end]	[start] Rupa r i ŋ [end]
[start] Rupa m ə [end]	[start] Rupa m ə [end]
[start] Rupa kʰ a k [end]	[start] Rupa kʰ a k [end]
[start] Rupa ə [end]	[start] Rupa a [end]
[start] Rupa d ɔ k [end]	[start] Rupa d ɔ k [end]
[start] Rupa h uː [end]	[start] Rupa h uː [end]
[start] Rupa ʨʰ a k [end]	[start] Rupa ʨʰ a k [end]
[start] Rupa tɕʰ ũː [end]	[start] Rupa tɕʰ ũː [end]
[start] Rupa h aː [end]	[start] Rupa h aː [end]
[start] Rupa h i k [end]	[start] Rupa m i k [end]
[start] Rupa s ə [end]	[start] Rupa s [end]
[start] Rupa kʰ a n [end]	[start] Rupa k a n [end]
[start] Rupa k i k [end]	[start] Rupa k i k [end]
[start] Rupa l i [end]	[start] Rupa l i [end]
[start] Rupa ɲ yː [end]	[start] Rupa ɲ yː [end]
[start] Rupa pʰ a ŋ [end]	[start] Rupa pʰ a ŋ [end]
[start] Rupa ɲ y ŋ [end]	[start] Rupa ɲ y ŋ [end]
[start] Rupa b y k [end]	[start] Rupa b y k [end]
[start] Rupa tʰ øː [end]	[start] Rupa tʰ øː [end]
[start] Rupa r aː [end]	[start] Rupa r aː [end]
[start] Rupa m uː [end]	[start] Rupa m uː [end]
[start] Rupa g ə [end]	[start] Rupa g ə [end]
[start] Rupa ʨ i ŋ [end]	[start] Rupa ts i n [end]
[start] Rupa h ɛ [end]	[start] Rupa h a [end]
[start] Rupa m ɔ̃ː [end]	[start] Rupa m ɔ̃ː [end]
[start] Rupa ʨʰ aː [end]	[start] Rupa tɕʰ aː [end]
[start] Rupa kʰ a n [end]	[start] Rupa kʰ a n [end]
[start] Rupa ʨʰ ə [end]	[start] Rupa kʰ i [end]
[start] Rupa kʰ ə [end]	[start] Rupa g ə [end]
[start] Rupa tʰ u ŋ [end]	[start] Rupa tʰ u ŋ [end]
[start] Rupa b yː [end]	[start] Rupa b yː [end]
[start] Rupa ɲ a m [end]	[start] Rupa ɲ a m [end]
[start] Rupa b yː [end]	[start] Rupa b yː [end]
[start] Rupa kʰ eː [end]	[start] Rupa kʰ eˀ [end]
[start] Rupa h ə [end]	[start] Rupa b ə [end]
[start] Rupa kʰ aː [end]	[start] Rupa ʨʰ aː [end]
[start] Rupa m ũː ŋ [end]	[start] Rupa m ɔ ŋ [end]
[start] Rupa tsʰ a k [end]	[start] Rupa ʨʰ a k [end]
[start] Rupa j ɔˀ [end]	[start] Rupa j ɔˀ [end]
[start] Rupa ɲ ɔ̃ [end]	[start] Rupa n ɔ̃ [end]
[start] Rupa b eˀ [end]	[start] Rupa b a [end]
[start] Rupa r au [end]	[start] Rupa r au [end]
[start] Rupa ʥ ɛ k [end]	[start] Rupa g ɛ k [end]
[start] Rupa tʰ a k [end]	[start] Rupa tʰ a k [end]
[start] Rupa kʰ eː [end]	[start] Rupa kʰ eˀ [end]
[start] Rupa m a m [end]	[start] Rupa m ə [end]
[start] Rupa b u ŋ [end]	[start] Rupa b u ŋ [end]
[start] Rupa d ə [end]	[start] Rupa d ə [end]
[start] Rupa m yː [end]	[start] Rupa m yː [end]
[start] Rupa u [end]	[start] Rupa a [end]
[start] Rupa l i n [end]	[start] Rupa l i ŋ [end]
[start] Rupa tɕ i k [end]	[start] Rupa k i t [end]
[start] Rupa ɲ iː [end]	[start] Rupa n i [end]
[start] Rupa s i [end]	[start] Rupa s [end]
[start] Rupa yː [end]	[start] Rupa iː [end]
[start] Rupa r a [end]	[start] Rupa r a [end]
[start] Rupa tʰ aː [end]	[start] Rupa tʰ aː [end]
[start] Rupa k au [end]	[start] Rupa k au [end]
[start] Rupa b a n [end]	[start] Rupa b a n [end]
[start] Rupa ɲ i ŋ [end]	[start] Rupa l i ŋ [end]
[start] Rupa ɔ̃ː [end]	[start] Rupa ɔ̃ː [end]
[start] Rupa kʰ ə [end]	[start] Rupa g ə [end]
[start] Rupa tʰ y ŋ [end]	[start] Rupa tʰ y ŋ [end]
[start] Rupa tɕʰ u [end]	[start] Rupa ʨʰ u [end]
[start] Rupa ə [end]	[start] Rupa a [end]
[start] Rupa b ə [end]	[start] Rupa m a n [end]
[start] Rupa tʰ au [end]	[start] Rupa tʰ oː [end]
[start] Rupa s a ɹ [end]	[start] Rupa s a ɹ [end]
[start] Shergaon g uː [end]	[start] Shergaon g uː [end]
[start] Shergaon n a [end]	[start] Shergaon n aː [end]
[start] Shergaon tʰ i k [end]	[start] Shergaon tʰ i k [end]
[start] Shergaon n a ŋ [end]	[start] Shergaon n a ŋ [end]
[start] Shergaon dʑ i [end]	[start] Shergaon dʑ i [end]
[start] Shergaon r ɔ [end]	[start] Shergaon l ɔ [end]
[start] Shergaon u [end]	[start] Shergaon a [end]
[start] Shergaon s aː [end]	[start] Shergaon s aː [end]
[start] Shergaon kʰ u ŋ [end]	[start] Shergaon kʰ u ŋ [end]
[start] Shergaon dʑ ɔ k [end]	[start] Shergaon dʑ ɔ k [end]
[start] Shergaon tɕʰ ɔ [end]	[start] Shergaon tɕʰ a [end]
[start] Shergaon pʰ l u [end]	[start] Shergaon p l u [end]
[start] Shergaon pʰ l au [end]	[start] Shergaon pʰ l uˀ [end]
[start] Shergaon m a [end]	[start] Shergaon m a [end]
[start] Shergaon pʰ u k [end]	[start] Shergaon pʰ u k [end]
[start] Shergaon d au [end]	[start] Shergaon d ə [end]
[start] Shergaon l ɔː [end]	[start] Shergaon pʰ l ɔː [end]
[start] Shergaon pʰ a m [end]	[start] Shergaon pʰ a m [end]
[start] Shergaon s a [end]	[start] Shergaon s [end]
[start] Shergaon t u ŋ [end]	[start] Shergaon t u ŋ [end]
[start] Shergaon d u [end]	[start] Shergaon d u [end]
[start] Shergaon ə [end]	[start] Shergaon a [end]
[start] Shergaon tʰ ɔ k [end]	[start] Shergaon tʰ ɔ k [end]
[start] Shergaon s ə [end]	[start] Shergaon s ə [end]
[start] Shergaon r i n [end]	[start] Shergaon r i ŋ [end]
[start] Shergaon b ə [end]	[start] Shergaon m ə [end]
[start] Shergaon kʰ a k [end]	[start] Shergaon kʰ a k [end]
[start] Shergaon ɔ [end]	[start] Shergaon a [end]
[start] Shergaon d ɔ k [end]	[start] Shergaon d ɔ k [end]
[start] Shergaon h uː [end]	[start] Shergaon h uː [end]
[start] Shergaon tɕʰ a k [end]	[start] Shergaon tɕʰ a k [end]
[start] Shergaon tɕʰ ɔ̃ː [end]	[start] Shergaon tɕʰ ɔ̃ː [end]
[start] Shergaon h aː [end]	[start] Shergaon h aː [end]
[start] Shergaon h i k [end]	[start] Shergaon m i t [end]
[start] Shergaon s a [end]	[start] Shergaon s [end]
[start] Shergaon kʰ a n [end]	[start] Shergaon k a n [end]
[start] Shergaon kʰ i k [end]	[start] Shergaon k i t [end]
[start] Shergaon l i [end]	[start] Shergaon l i [end]
[start] Shergaon ɲ yː [end]	[start] Shergaon ɲ iː [end]
[start] Shergaon pʰ a ŋ [end]	[start] Shergaon pʰ a ŋ [end]
[start] Shergaon ɲ u ŋ [end]	[start] Shergaon ɲ u ŋ [end]
[start] Shergaon b u k [end]	[start] Shergaon b u k [end]
[start] Shergaon tʰ eː [end]	[start] Shergaon t oː [end]
[start] Shergaon r aː [end]	[start] Shergaon r aː [end]
[start] Shergaon m uː [end]	[start] Shergaon m uː [end]
[start] Shergaon g ə [end]	[start] Shergaon g ə [end]
[start] Shergaon tɕ i n [end]	[start] Shergaon tɕ i n [end]
[start] Shergaon h a [end]	[start] Shergaon h a [end]
[start] Shergaon m ɔ̃ː [end]	[start] Shergaon m ɔ̃ː [end]
[start] Shergaon tɕʰ aː [end]	[start] Shergaon tɕʰ aː [end]
[start] Shergaon kʰ a n [end]	[start] Shergaon kʰ a n [end]
[start] Shergaon kʰ i [end]	[start] Shergaon kʰ i [end]
[start] Shergaon kʰ ə [end]	[start] Shergaon kʰ [end]
[start] Shergaon tʰ u ŋ [end]	[start] Shergaon tʰ u ŋ [end]
[start] Shergaon b yː [end]	[start] Shergaon b iː [end]
[start] Shergaon ɲ a m [end]	[start] Shergaon ɲ a m [end]
[start] Shergaon b yː [end]	[start] Shergaon b iː [end]
[start] Shergaon kʰ eˀ [end]	[start] Shergaon kʰ eː [end]
[start] Shergaon h ə [end]	[start] Shergaon pʰ [end]
[start] Shergaon kʰ aː [end]	[start] Shergaon tɕʰ aː [end]
[start] Shergaon m ɔ̃ː [end]	[start] Shergaon m ɔ ŋ [end]
[start] Shergaon tɕʰ a k [end]	[start] Shergaon tɕʰ a k [end]
[start] Shergaon j ɔ [end]	[start] Shergaon j ɔ [end]
[start] Shergaon ɲ ɔ̃ [end]	[start] Shergaon n ɔ̃ [end]
[start] Shergaon b eˀ [end]	[start] Shergaon b a [end]
[start] Shergaon r au [end]	[start] Shergaon r au [end]
[start] Shergaon g ɛ k [end]	[start] Shergaon g ɛ k [end]
[start] Shergaon tʰ a k [end]	[start] Shergaon tʰ a k [end]
[start] Shergaon kʰ eˀ [end]	[start] Shergaon kʰ eː [end]
[start] Shergaon m a m [end]	[start] Shergaon m ə [end]
[start] Shergaon b u ŋ [end]	[start] Shergaon b u ŋ [end]
[start] Shergaon d ə [end]	[start] Shergaon d i [end]
[start] Shergaon m yː [end]	[start] Shergaon m iː [end]
[start] Shergaon u [end]	[start] Shergaon a [end]
[start] Shergaon l i n [end]	[start] Shergaon l i ŋ [end]
[start] Shergaon tɕ i k [end]	[start] Shergaon kʰ i t [end]
[start] Shergaon ɲ iː [end]	[start] Shergaon n i [end]
[start] Shergaon s iː [end]	[start] Shergaon s ə [end]
[start] Shergaon iː [end]	[start] Shergaon iː [end]
[start] Shergaon r a [end]	[start] Shergaon r a [end]
[start] Shergaon tʰ aː [end]	[start] Shergaon tʰ aː [end]
[start] Shergaon k au [end]	[start] Shergaon k au [end]
[start] Shergaon b a n [end]	[start] Shergaon b a n [end]
[start] Shergaon ɲ i ŋ [end]	[start] Shergaon i ŋ [end]
[start] Shergaon ɔ̃ː [end]	[start] Shergaon ɔ̃ː [end]
[start] Shergaon kʰ ə [end]	[start] Shergaon kʰ ə [end]
[start] Shergaon tʰ u ŋ [end]	[start] Shergaon tʰ u ŋ [end]
[start] Shergaon tɕʰ u [end]	[start] Shergaon tɕʰ u [end]
[start] Shergaon ɔ [end]	[start] Shergaon a [end]
[start] Shergaon b a n [end]	[start] Shergaon b a n [end]
[start] Shergaon tʰ au [end]	[start] Shergaon tʰ oː [end]
[start] Shergaon s a ɹ [end]	[start] Shergaon s a ɹ [end]
[start] BelejeGonfoye s a b a [end]	[start] BelejeGonfoye l aː b a [end]
[start] BelejeGonfoye a b o n b o [end]	[start] BelejeGonfoye a b a b ɔ ʔ i [end]
[start] BelejeGonfoye a b u r b u [end]	[start] BelejeGonfoye a b u r b u d u [end]
[start] BelejeGonfoye a g o r a [end]	[start] BelejeGonfoye a g o r a [end]
[start] BelejeGonfoye a g u d i [end]	[start] BelejeGonfoye a g u d i ʔ o [end]
[start] BelejeGonfoye s i l i [end]	[start] BelejeGonfoye ʃ i l e [end]
[start] BelejeGonfoye ɗ oː s e [end]	[start] BelejeGonfoye ɗ o s ɛ n e [end]
[start] BelejeGonfoye ɓ uː d e [end]	[start] BelejeGonfoye ɓ u d ɛ n e [end]
[start] BelejeGonfoye g uː ɗ e [end]	[start] BelejeGonfoye g o ɗ e [end]
[start] BelejeGonfoye a r e [end]	[start] BelejeGonfoye a r e [end]
[start] BelejeGonfoye g u n d u [end]	[start] BelejeGonfoye g u n d i [end]
[start] BelejeGonfoye ɓ aː l e [end]	[start] BelejeGonfoye ɓ aː l e [end]
[start] BelejeGonfoye n d u [end]	[start] BelejeGonfoye n d u [end]
[start] BelejeGonfoye n d u [end]	[start] BelejeGonfoye n d u [end]
[start] BelejeGonfoye s a h a [end]	[start] BelejeGonfoye ʃ ɛ w a [end]
[start] BelejeGonfoye n e n d e [end]	[start] BelejeGonfoye n ɛ d i g i [end]
[start] BelejeGonfoye b e d e [end]	[start] BelejeGonfoye b ə ɗ i [end]
[start] BelejeGonfoye b e n e [end]	[start] BelejeGonfoye b ɛ ɲ i [end]
[start] BelejeGonfoye b o s a [end]	[start] BelejeGonfoye b o s a [end]
[start] BelejeGonfoye m b ə r a [end]	[start] BelejeGonfoye m b ə m a r e [end]
[start] Fadashi θ aː b a [end]	[start] Fadashi θ a b a [end]
[start] Fadashi a b o b o [end]	[start] Fadashi a b ɔ b ɔ n e [end]
[start] Fadashi a b u r b u d u [end]	[start] Fadashi a b u r b u d u [end]
[start] Fadashi a g o r a [end]	[start] Fadashi a g o r a [end]
[start] Fadashi a g u d i [end]	[start] Fadashi a g u d i [end]
[start] Fadashi ʃ i l i l [end]	[start] Fadashi ʃ ɪ l e [end]
[start] Fadashi ɗ oː ʃ e [end]	[start] Fadashi ɗ oː ʃ a [end]
[start] Fadashi ɓ uː d ɛ n e [end]	[start] Fadashi ɓ ʊː d a [end]
[start] Fadashi g uː ɗ e [end]	[start] Fadashi eː g oː ɗ a [end]
[start] Fadashi a r e [end]	[start] Fadashi a r e [end]
[start] Fadashi g u n d i [end]	[start] Fadashi g u n d i [end]
[start] Fadashi ɓ aː l a [end]	[start] Fadashi ɓ aː l e [end]
[start] Fadashi n d u [end]	[start] Fadashi n d u [end]
[start] Fadashi n d u [end]	[start] Fadashi n d u [end]
[start] Fadashi ʃ ɛ w a [end]	[start] Fadashi ʃ ɛ f a ʔ [end]
[start] Fadashi n ɛ n d e [end]	[start] Fadashi n ɛ n d ɛ g i [end]
[start] Fadashi b ə d i [end]	[start] Fadashi b ɛ ɗ i [end]
[start] Fadashi b e n e [end]	[start] Fadashi b ɪ n i [end]
[start] Fadashi b o ʃ a [end]	[start] Fadashi b o ʃ a [end]
[start] Fadashi m b ə r a [end]	[start] Fadashi m b ə m a r e [end]
[start] Maiyu θ aː b a [end]	[start] Maiyu θ a b a [end]
[start] Maiyu a b a b a [end]	[start] Maiyu a b ɔ b ɔ n e [end]
[start] Maiyu a b u r b u [end]	[start] Maiyu a b u r b u d u [end]
[start] Maiyu a g ɔ r a [end]	[start] Maiyu a g ɔ r θ e [end]
[start] Maiyu a g u d i [end]	[start] Maiyu a g u d i [end]
[start] Maiyu ʃ i l e [end]	[start] Maiyu ʃ i l i [end]
[start] Maiyu ɗ ɔ ʃ a [end]	[start] Maiyu ɗ ɔː ʃ a [end]
[start] Maiyu p ʔ ʊ d a [end]	[start] Maiyu p ʊː d a [end]
[start] Maiyu g ɔ d a [end]	[start] Maiyu g ɔ ɗ a [end]
[start] Maiyu a r e [end]	[start] Maiyu a r e [end]
[start] Maiyu g u n d i [end]	[start] Maiyu g u n d i [end]
[start] Maiyu p ʔ aː l a [end]	[start] Maiyu p ʔ aː l a [end]
[start] Maiyu n d u [end]	[start] Maiyu n d u [end]
[start] Maiyu n d u [end]	[start] Maiyu n d u [end]
[start] Maiyu ʃ ɛ w a [end]	[start] Maiyu ʃ ɛ f a [end]
[start] Maiyu a n d i [end]	[start] Maiyu n ɛ n d i g i [end]
[start] Maiyu b ə d i [end]	[start] Maiyu b ɛ ɗ i [end]
[start] Maiyu b e n i [end]	[start] Maiyu b ɪ ɲ ɛ n i [end]
[start] Maiyu b ɔ ʃ a [end]	[start] Maiyu b ɔ ʃ a [end]
[start] Maiyu m b ə r a [end]	[start] Maiyu m a r e [end]
[start] Undulu θ a b a [end]	[start] Undulu θ a b a [end]
[start] Undulu a b o n b o [end]	[start] Undulu aː b ɔ b ɔ ʔ i [end]
[start] Undulu a b u r b u [end]	[start] Undulu a b u r b u d u [end]
[start] Undulu a g o r a [end]	[start] Undulu a g o r θ a [end]
[start] Undulu a g u d i [end]	[start] Undulu a g u d i ʔ [end]
[start] Undulu ʃ i l i [end]	[start] Undulu a ʃ i l e [end]
[start] Undulu ɗ uː ʃ a [end]	[start] Undulu ɗ oː ʃ ɛ f a [end]
[start] Undulu ɓ uː d ɛ n e [end]	[start] Undulu ɓ uː d aː [end]
[start] Undulu g o ɗ a [end]	[start] Undulu g oː ɗ e [end]
[start] Undulu a r e [end]	[start] Undulu a r e [end]
[start] Undulu g u n d i [end]	[start] Undulu g u n d i [end]
[start] Undulu ɓ aː l a [end]	[start] Undulu ɓ aː l e [end]
[start] Undulu n d u [end]	[start] Undulu n d u [end]
[start] Undulu n d u [end]	[start] Undulu n d u [end]
[start] Undulu ʃ ɛ w a [end]	[start] Undulu ʃ ɛ f a ʔ [end]
[start] Undulu n e n d e [end]	[start] Undulu ə n d ɪ g e [end]
[start] Undulu b ɛ d i [end]	[start] Undulu b ɛ ɗ i [end]
[start] Undulu b e n i [end]	[start] Undulu b ɛ n i [end]
[start] Undulu b o ʃ a [end]	[start] Undulu b oː ʃ a [end]
[start] Undulu m b ə r a [end]	[start] Undulu m b ə m a r e [end]
[start] BanPaw ŋ ɛ [end]	[start] BanPaw ŋ ɛ [end]
[start] BanPaw k ə̆ [end]	[start] BanPaw k a [end]
[start] BanPaw ʔ u t [end]	[start] BanPaw ʔ u ʔ [end]
[start] BanPaw kʰ u n [end]	[start] BanPaw kʰ u n [end]
[start] BanPaw n a m [end]	[start] BanPaw n ă m [end]
[start] BanPaw ʔ ɨ m [end]	[start] BanPaw ʔ ɨ m [end]
[start] BanPaw d ai̯ [end]	[start] BanPaw d ai̯ [end]
[start] BanPaw m o [end]	[start] BanPaw m au̯ [end]
[start] BanPaw h e [end]	[start] BanPaw h e [end]
