Predicted	Actual
[start] ZhongheCentralSandong m u m ¹ [end]	[start] ZhongheCentralSandong m o m ¹ [end]
[start] ZhongheCentralSandong ˀȵ o ŋ ¹ [end]	[start] ZhongheCentralSandong ˀȵ o ŋ ¹ [end]
[start] ZhongheCentralSandong ˀb a ¹ [end]	[start] ZhongheCentralSandong ˀb a ¹ [end]
[start] ZhongheCentralSandong l u k ¹ [end]	[start] ZhongheCentralSandong l u k ¹ [end]
[start] ZhongheCentralSandong m ə t ¹ [end]	[start] ZhongheCentralSandong m ə t ¹ [end]
[start] ZhongheCentralSandong ˀd j a k ¹ [end]	[start] ZhongheCentralSandong ⁿd j a k ¹ [end]
[start] ZhongheCentralSandong k i ¹ [end]	[start] ZhongheCentralSandong k i ¹ [end]
[start] ZhongheCentralSandong kʰ u p ¹ [end]	[start] ZhongheCentralSandong kʰ u p ¹ [end]
[start] ZhongheCentralSandong n a n ¹ [end]	[start] ZhongheCentralSandong n aː n ¹ [end]
[start] ZhongheCentralSandong m̥ a t ¹ [end]	[start] ZhongheCentralSandong m̥ a t ¹ [end]
[start] ZhongheCentralSandong ˀn u n ¹ [end]	[start] ZhongheCentralSandong ˀn u n ¹ [end]
[start] ZhongheCentralSandong h a n ¹ [end]	[start] ZhongheCentralSandong h a n ¹ [end]
[start] ZhongheCentralSandong h ui ¹ [end]	[start] ZhongheCentralSandong h ui ¹ [end]
[start] ZhongheCentralSandong k a ¹ [end]	[start] ZhongheCentralSandong k a ¹ [end]
[start] ZhongheCentralSandong ˀȵ aː k ¹ [end]	[start] ZhongheCentralSandong ˀȵ aː k ¹ [end]
[start] ZhongheCentralSandong v a ¹ [end]	[start] ZhongheCentralSandong v a ¹ [end]
[start] ZhongheCentralSandong ts ə n ¹ [end]	[start] ZhongheCentralSandong ts ə n ¹ [end]
[start] ZhongheCentralSandong k ai ¹ [end]	[start] ZhongheCentralSandong k ai ¹ [end]
[start] ZhongheCentralSandong h ə t ¹ [end]	[start] ZhongheCentralSandong h ə t ¹ [end]
[start] ZhongheCentralSandong p j a m ¹ [end]	[start] ZhongheCentralSandong p j a m ¹ [end]
[start] ZhongheCentralSandong ts ə n ¹ [end]	[start] ZhongheCentralSandong ts ə n ¹ [end]
[start] ZhongheCentralSandong p j aː k ¹ [end]	[start] ZhongheCentralSandong p j aː k ¹ [end]
[start] ZhongheCentralSandong ˀn a ¹ [end]	[start] ZhongheCentralSandong ˀn a ¹ [end]
[start] ZhongheCentralSandong ŋ ai ¹ [end]	[start] ZhongheCentralSandong ŋ ai ¹ [end]
[start] ZhongheCentralSandong d a ¹ [end]	[start] ZhongheCentralSandong ⁿd a ¹ [end]
[start] ZhongheCentralSandong qʰ a ¹ [end]	[start] ZhongheCentralSandong qʰ a ¹ [end]
[start] ZhongheCentralSandong ˀn a ŋ ¹ [end]	[start] ZhongheCentralSandong ˀn a ŋ ¹ [end]
[start] ZhongheCentralSandong m u k ¹ [end]	[start] ZhongheCentralSandong m u k ¹ [end]
[start] ZhongheCentralSandong m a ¹ [end]	[start] ZhongheCentralSandong m a ¹ [end]
[start] ZhongheCentralSandong n j u t ¹ [end]	[start] ZhongheCentralSandong n j uː t ¹ [end]
[start] ZhongheCentralSandong q o ¹ [end]	[start] ZhongheCentralSandong q o ¹ [end]
[start] ZhongheCentralSandong h a ¹ [end]	[start] ZhongheCentralSandong h a ¹ [end]
[start] ZhongheCentralSandong ȶʰ i n ¹ [end]	[start] ZhongheCentralSandong ȶʰ i n ¹ [end]
[start] ZhongheCentralSandong h aː k ¹ [end]	[start] ZhongheCentralSandong h aː k ¹ [end]
[start] ZhongheCentralSandong m j a ¹ [end]	[start] ZhongheCentralSandong m j a ¹ [end]
[start] ZhongheCentralSandong m j a ¹ [end]	[start] ZhongheCentralSandong m j a ¹ [end]
[start] ZhongheCentralSandong ȶ o n ¹ [end]	[start] ZhongheCentralSandong ȶ o n ¹ [end]
[start] ZhongheCentralSandong l j a p ¹ [end]	[start] ZhongheCentralSandong l j a p ¹ [end]
[start] ZhongheCentralSandong t a k ¹ [end]	[start] ZhongheCentralSandong t a k ¹ [end]
[start] ZhongheCentralSandong t j u ¹ [end]	[start] ZhongheCentralSandong t j u ¹ [end]
[start] ClassicalNahuatl m o tʃ + tɬ [end]	[start] ClassicalNahuatl m o tʃ i + n [end]
[start] ClassicalNahuatl tɬ e x + tɬ i [end]	[start] ClassicalNahuatl n e x + tɬ i [end]
[start] ClassicalNahuatl w eː i j i [end]	[start] ClassicalNahuatl w eː [end]
[start] ClassicalNahuatl j e s [end]	[start] ClassicalNahuatl e s + tɬ i [end]
[start] ClassicalNahuatl i s t i [end]	[start] ClassicalNahuatl i s t e + tɬ [end]
[start] ClassicalNahuatl m i k + t [end]	[start] ClassicalNahuatl m i k [end]
[start] ClassicalNahuatl i n + tɬ [end]	[start] ClassicalNahuatl o n + iː [end]
[start] ClassicalNahuatl w aː k + t i k [end]	[start] ClassicalNahuatl w aː k + k i [end]
[start] ClassicalNahuatl n a k a s [end]	[start] ClassicalNahuatl n a k a s + tɬ i [end]
[start] ClassicalNahuatl tɬ aː l [end]	[start] ClassicalNahuatl tɬ aː l + l i [end]
[start] ClassicalNahuatl k w aː + tɬ [end]	[start] ClassicalNahuatl k w aː [end]
[start] ClassicalNahuatl i x + t e l o [end]	[start] ClassicalNahuatl iː x + t e l o l o ʔ [end]
[start] JalupaNahuat m u tʃ u [end]	[start] JalupaNahuat m u tʃ i [end]
[start] JalupaNahuat t e x + t i k [end]	[start] JalupaNahuat k o + n e x + t i [end]
[start] JalupaNahuat w eː j u k [end]	[start] JalupaNahuat w e j [end]
[start] JalupaNahuat i s + t [end]	[start] JalupaNahuat e s + t i [end]
[start] JalupaNahuat i s t i [end]	[start] JalupaNahuat i s t i [end]
[start] JalupaNahuat m i k i [end]	[start] JalupaNahuat m i k i [end]
[start] JalupaNahuat u n + u [end]	[start] JalupaNahuat x i + k [end]
[start] JalupaNahuat w a k + t i k [end]	[start] JalupaNahuat w a k + t u k [end]
[start] JalupaNahuat n a k a s [end]	[start] JalupaNahuat n a k a s [end]
[start] JalupaNahuat t aː h + t i [end]	[start] JalupaNahuat t a h l i [end]
[start] JalupaNahuat k w a i + k [end]	[start] JalupaNahuat b w aː [end]
[start] JalupaNahuat i x + t e l u k [end]	[start] JalupaNahuat iː x [end]
[start] MecayapanNahuat m o tʃ i [end]	[start] MecayapanNahuat n o tʃ i [end]
[start] MecayapanNahuat t e x + t i [end]	[start] MecayapanNahuat k w a + n eː x [end]
[start] MecayapanNahuat w eː j i ʔ [end]	[start] MecayapanNahuat w e j i [end]
[start] MecayapanNahuat j e ʔ + t i [end]	[start] MecayapanNahuat e s + t i [end]
[start] MecayapanNahuat i s t i ʔ [end]	[start] MecayapanNahuat i s t i [end]
[start] MecayapanNahuat m i ʔ + k i [end]	[start] MecayapanNahuat m i k i [end]
[start] MecayapanNahuat i n + ʔ i [end]	[start] MecayapanNahuat o n + i + a [end]
[start] MecayapanNahuat w aː k + t i ʔ [end]	[start] MecayapanNahuat w aː k + t o ʔ [end]
[start] MecayapanNahuat n a k a s [end]	[start] MecayapanNahuat n a k a s [end]
[start] MecayapanNahuat t aː l [end]	[start] MecayapanNahuat t aː h l i [end]
[start] MecayapanNahuat k w aː + k [end]	[start] MecayapanNahuat k w a [end]
[start] MecayapanNahuat i x + t eː l o ʔ [end]	[start] MecayapanNahuat iː x [end]
[start] NorthPueblaNahuatl m o tʃ i [end]	[start] NorthPueblaNahuatl n o tʃ i + n [end]
[start] NorthPueblaNahuatl n e x + tɬ i [end]	[start] NorthPueblaNahuatl tɬ e k o + n e x + tɬ i [end]
[start] NorthPueblaNahuatl w e j a [end]	[start] NorthPueblaNahuatl w e j i [end]
[start] NorthPueblaNahuatl e s + tɬ [end]	[start] NorthPueblaNahuatl j e s + tɬ i [end]
[start] NorthPueblaNahuatl i s t i [end]	[start] NorthPueblaNahuatl i s t + n [end]
[start] NorthPueblaNahuatl m i k i [end]	[start] NorthPueblaNahuatl m i k i [end]
[start] NorthPueblaNahuatl o n + tɬ [end]	[start] NorthPueblaNahuatl o n + i [end]
[start] NorthPueblaNahuatl w a k + t i k [end]	[start] NorthPueblaNahuatl w a h + k i [end]
[start] NorthPueblaNahuatl n a k a s [end]	[start] NorthPueblaNahuatl n a k a s [end]
[start] NorthPueblaNahuatl tɬ a l [end]	[start] NorthPueblaNahuatl tɬ a l i [end]
[start] NorthPueblaNahuatl k w a + tɬ [end]	[start] NorthPueblaNahuatl k w a [end]
[start] NorthPueblaNahuatl i x + t e l o [end]	[start] NorthPueblaNahuatl i x + t e l o l o [end]
[start] PajapanNahuat m o tʃ i [end]	[start] PajapanNahuat n o tʃ i [end]
[start] PajapanNahuat t e x + t i k [end]	[start] PajapanNahuat b a + n eː x [end]
[start] PajapanNahuat w eː j o [end]	[start] PajapanNahuat w eː j [end]
[start] PajapanNahuat i s + t [end]	[start] PajapanNahuat e s + t i [end]
[start] PajapanNahuat i s t i [end]	[start] PajapanNahuat i s t i [end]
[start] PajapanNahuat m i k i [end]	[start] PajapanNahuat m i g i [end]
[start] PajapanNahuat h o i [end]	[start] PajapanNahuat o n + i [end]
[start] PajapanNahuat w aː k + t i k [end]	[start] PajapanNahuat w aː k + t o k [end]
[start] PajapanNahuat n a k a s [end]	[start] PajapanNahuat n a g a s [end]
[start] PajapanNahuat t aː h l i [end]	[start] PajapanNahuat t aː h l i [end]
[start] PajapanNahuat b a [end]	[start] PajapanNahuat b aː [end]
[start] PajapanNahuat i x + t e l o [end]	[start] PajapanNahuat iː x + t o l o l o [end]
[start] Pipil m u tʃ i [end]	[start] Pipil m u tʃ i [end]
[start] Pipil t e k + t i k [end]	[start] Pipil n e x + t i [end]
[start] Pipil w eː j u [end]	[start] Pipil w eː j [end]
[start] Pipil eː s + t [end]	[start] Pipil e s + t i [end]
[start] Pipil i s t i [end]	[start] Pipil i s t i + t [end]
[start] Pipil m i k i [end]	[start] Pipil m i k i [end]
[start] Pipil u n + t [end]	[start] Pipil u n + i [end]
[start] Pipil w a k + t i k [end]	[start] Pipil w aː k + t u k [end]
[start] Pipil n a k a s [end]	[start] Pipil n a k a s [end]
[start] Pipil t aː l [end]	[start] Pipil t aː l [end]
[start] Pipil k w aː + t [end]	[start] Pipil k w a [end]
[start] Pipil i x + t eː l u [end]	[start] Pipil iː x [end]
[start] Pochutec m o tʃ o m [end]	[start] Pochutec n o tʃ o [end]
[start] Pochutec n e x + t [end]	[start] Pochutec n o x + t [end]
[start] Pochutec w e j e [end]	[start] Pochutec h u h i o m [end]
[start] Pochutec e s + t [end]	[start] Pochutec e s + t [end]
[start] Pochutec i s t i [end]	[start] Pochutec o x + t [end]
[start] Pochutec m i k i [end]	[start] Pochutec m o k [end]
[start] Pochutec o n [end]	[start] Pochutec t e m + i [end]
[start] Pochutec w a k + t [end]	[start] Pochutec w a k [end]
[start] Pochutec n e k e s [end]	[start] Pochutec n e k e s + t [end]
[start] Pochutec t a l [end]	[start] Pochutec t a l [end]
[start] Pochutec k w a i + t [end]	[start] Pochutec k w a [end]
[start] Pochutec i x + t e l o k [end]	[start] Pochutec i x + t o t o l u + t [end]
[start] ProtoAztecan m o tʃ ɨ [end]	[start] ProtoAztecan m o tʃ ɨ + m [end]
[start] ProtoAztecan k ɨ x + tɬ ɨ + k [end]	[start] ProtoAztecan n ɨ x + tɬ ɨ [end]
[start] ProtoAztecan w eː j a [end]	[start] ProtoAztecan w e h e j [end]
[start] ProtoAztecan j e s [end]	[start] ProtoAztecan ɨ s + tɬ ɨ [end]
[start] ProtoAztecan ɨ s t ɨ + tɬ [end]	[start] ProtoAztecan ɨ s t ɨ [end]
[start] ProtoAztecan m ɨ k i [end]	[start] ProtoAztecan m ɨ k i [end]
[start] ProtoAztecan oː n + k ɨ [end]	[start] ProtoAztecan i h i [end]
[start] ProtoAztecan w aː k + t ɨ + k [end]	[start] ProtoAztecan w aː k [end]
[start] ProtoAztecan n a k a s [end]	[start] ProtoAztecan n a k a s + tɬ ɨ [end]
[start] ProtoAztecan tɬ aː l [end]	[start] ProtoAztecan tɬ aː l + l ɨ [end]
[start] ProtoAztecan k w aː + tɬ [end]	[start] ProtoAztecan k w a + h aː [end]
[start] ProtoAztecan ɨ h + t ɨ l o l o [end]	[start] ProtoAztecan iː x [end]
[start] TetelcingoNahuatl m o tʃ iː [end]	[start] TetelcingoNahuatl n o tʃ iː [end]
[start] TetelcingoNahuatl n e x + tɬ e k o [end]	[start] TetelcingoNahuatl tɬ a k o + n e x + tɬ iː [end]
[start] TetelcingoNahuatl w e j u [end]	[start] TetelcingoNahuatl b i e j iː [end]
[start] TetelcingoNahuatl i s + tɬ iː [end]	[start] TetelcingoNahuatl j e s + tɬ iː [end]
[start] TetelcingoNahuatl i s t iː [end]	[start] TetelcingoNahuatl i s t e [end]
[start] TetelcingoNahuatl m iː k iː [end]	[start] TetelcingoNahuatl m iː k iː [end]
[start] TetelcingoNahuatl x o + tɬ [end]	[start] TetelcingoNahuatl o n + i [end]
[start] TetelcingoNahuatl b a k + ts o k [end]	[start] TetelcingoNahuatl w a h + k iː [end]
[start] TetelcingoNahuatl n a k a s + tɬ [end]	[start] TetelcingoNahuatl n a k a s [end]
[start] TetelcingoNahuatl tɬ ø l iː [end]	[start] TetelcingoNahuatl tɬ ø l iː [end]
[start] TetelcingoNahuatl k w a [end]	[start] TetelcingoNahuatl k w a [end]
[start] TetelcingoNahuatl i x + t i o l o [end]	[start] TetelcingoNahuatl i x + t e l o l o [end]
[start] Amharic d ə m [end]	[start] Amharic d ə m [end]
[start] Amharic ʔ a tʼː ɨ m [end]	[start] Amharic ʔ a tʼ ɨ n t [end]
[start] Amharic g a m e l [end]	[start] Amharic g ɨ m ə l [end]
[start] Amharic d ə m ə n [end]	[start] Amharic d a mː ə n a [end]
[start] Amharic ʔ ɨ gː u s [end]	[start] Amharic n ɨ g u s [end]
[start] Amharic b ə kʼ u l ə [end]	[start] Amharic b ə kʼ l o [end]
[start] Amharic ʔ a t [end]	[start] Amharic ʔ a n d [end]
[start] Amharic r u z [end]	[start] Amharic r u z [end]
[start] Amharic s ə b t [end]	[start] Amharic s ə b a tː [end]
[start] Amharic ʔ a tʃʼ ɨ r [end]	[start] Amharic ʔ a tʃʼ ɨ r [end]
[start] Amharic s ɨ d ɨ s [end]	[start] Amharic s ɨ dː ɨ s t [end]
[start] Amharic ʔ a sː ɨ r [end]	[start] Amharic ʔ a sː ɨ r [end]
[start] Amharic s ə l ə s [end]	[start] Amharic s o s t [end]
[start] Amharic ʔ a m u s [end]	[start] Amharic h a m u s [end]
[start] Amharic m a nː [end]	[start] Amharic m a n [end]
[start] Amharic d ə bː ə r ə [end]	[start] Amharic d ə mː ə r ə [end]
[start] Amharic tʼ u b [end]	[start] Amharic tʼ u t [end]
[start] Amharic ʔ ɨ jː u [end]	[start] Amharic ʔ ai̯ n [end]
[start] Amharic ʔ a r b ə t [end]	[start] Amharic ʔ a r a tː [end]
[start] Amharic m u l ə [end]	[start] Amharic m u l u [end]
[start] Amharic f ə r ə z [end]	[start] Amharic f ə r ə s [end]
[start] Amharic kʼ u m a l [end]	[start] Amharic kʼ ɨ m a l [end]
[start] Amharic b ə r ə r [end]	[start] Amharic b ə r e [end]
[start] Amharic d u b a kʼ u lː a [end]	[start] Amharic d u bː a [end]
[start] Amharic ʔ a r o b [end]	[start] Amharic ʔ ɨ r o b [end]
[start] Amharic ʔ ɨ fː a s [end]	[start] Amharic n ɨ f a s [end]
[start] Amharic n ə fː ə s ə [end]	[start] Amharic n ə fː ə s ə [end]
[start] Amharic l ə l [end]	[start] Amharic l a m [end]
[start] Amharic s ɨ mː u t [end]	[start] Amharic s ɨ mː ɨ n t [end]
[start] Amharic ʔ a mː ɨ s [end]	[start] Amharic ʔ a m ɨ s t [end]
[start] Amharic ʔ ɨ l ə b [end]	[start] Amharic z ɨ n a b [end]
[start] Amharic z ə r ə [end]	[start] Amharic z ə r [end]
[start] Amharic tʼ ə bː ə m [end]	[start] Amharic tʼ ə bː a [end]
[start] Argobba d ə m [end]	[start] Argobba d ə m [end]
[start] Argobba ʔ a tʼː ɨ m [end]	[start] Argobba x a tʼ ɨ m [end]
[start] Argobba g a m e l [end]	[start] Argobba g a m e l a [end]
[start] Argobba d ə m ə n [end]	[start] Argobba d ə m ə n a [end]
[start] Argobba n ɨ g u s [end]	[start] Argobba n ɨ g u s [end]
[start] Argobba b ə kʼ u l a [end]	[start] Argobba b ə kʼ l o [end]
[start] Argobba ʔ a t [end]	[start] Argobba h a n d [end]
[start] Argobba r u z [end]	[start] Argobba r u z [end]
[start] Argobba s ə b t [end]	[start] Argobba s a ʔ i n t [end]
[start] Argobba ʔ a tʃʼ ɨ r [end]	[start] Argobba h a tʃ ɨ r n i [end]
[start] Argobba s ɨ d ɨ s [end]	[start] Argobba s ɨ d ɨ s t [end]
[start] Argobba ʔ a sː ɨ r [end]	[start] Argobba ʔ a sː ɨ r [end]
[start] Argobba s ə kʼː ə s [end]	[start] Argobba s o s t [end]
[start] Argobba ʔ a m u s [end]	[start] Argobba k a m i s [end]
[start] Argobba m a n [end]	[start] Argobba m a n i [end]
[start] Argobba d ə m ə r [end]	[start] Argobba tʃʼ e mː ə r a [end]
[start] Argobba tʼ u b [end]	[start] Argobba tʼ u t [end]
[start] Argobba s ə tʼː ə [end]	[start] Argobba s ə tʃ a [end]
[start] Argobba ʔ ə h ai̯ [end]	[start] Argobba ʔ eː n [end]
[start] Argobba ʔ a r b ə t [end]	[start] Argobba ʔ a r b i t [end]
[start] Argobba m u l a [end]	[start] Argobba m u l u [end]
[start] Argobba f ə r ə z [end]	[start] Argobba f ə r ə s [end]
[start] Argobba kʼ u m a l [end]	[start] Argobba kʼ ɨ m a l [end]
[start] Argobba b o r a [end]	[start] Argobba b ə ʔ r a [end]
[start] Argobba d ɨ b a kʼ u lː a [end]	[start] Argobba d u bː a [end]
[start] Argobba n ɨ fː a s [end]	[start] Argobba n ɨ f a s [end]
[start] Argobba n ə fː ə s ə [end]	[start] Argobba n ə fː ə h a [end]
[start] Argobba l a l [end]	[start] Argobba l a m [end]
[start] Argobba s ə m ə t [end]	[start] Argobba s ə mː ɨ t [end]
[start] Argobba ʔ a m ɨ s [end]	[start] Argobba ʔ a m ɨ s t [end]
[start] Argobba z ɨ l a b [end]	[start] Argobba z ɨ n a b [end]
[start] Argobba z ə r e [end]	[start] Argobba z ə r i [end]
[start] Argobba tʼ ə b ə [end]	[start] Argobba tʼ ə bː a [end]
[start] Chaha d ə m [end]	[start] Chaha d ə m [end]
[start] Chaha ʔ a tʼ ɨ m [end]	[start] Chaha ʔ a tʼ ɨ m [end]
[start] Chaha g a m e r [end]	[start] Chaha g a m e r a [end]
[start] Chaha d ə m ə r a [end]	[start] Chaha d a b ə r a [end]
[start] Chaha n ɨ g u s [end]	[start] Chaha n ɨ g w s [end]
[start] Chaha b ə kʼ u r [end]	[start] Chaha b ɨ kʼ w ə r ə [end]
[start] Chaha ʔ a t ə [end]	[start] Chaha ʔ a t [end]
[start] Chaha r u z [end]	[start] Chaha r u z [end]
[start] Chaha s ə b [end]	[start] Chaha s ə b a t [end]
[start] Chaha ʔ a tʃʼ ɨ r [end]	[start] Chaha ʔ a tʃʼ ɨ r [end]
[start] Chaha s ɨ d ɨ s [end]	[start] Chaha s ɨ d ɨ s t [end]
[start] Chaha ʔ a sː ɨ r [end]	[start] Chaha ʔ a s ɨ r [end]
[start] Chaha s e s ə s [end]	[start] Chaha s o s t [end]
[start] Chaha ʔ a m w ɨ s [end]	[start] Chaha ʔ a m u s [end]
[start] Chaha m a n [end]	[start] Chaha m w a n [end]
[start] Chaha d ə b ə r ə m [end]	[start] Chaha d ə p ə r ə m [end]
[start] Chaha tʼ u b [end]	[start] Chaha tʼ u [end]
[start] Chaha s ə tʃʼ ə [end]	[start] Chaha s ə tʃʼ ə [end]
[start] Chaha ʔ ə n [end]	[start] Chaha ʔ e n [end]
[start] Chaha ʔ a r b a t [end]	[start] Chaha ʔ a r b ə t [end]
[start] Chaha m u r a [end]	[start] Chaha m u r a [end]
[start] Chaha f ə r ə z [end]	[start] Chaha f ə r ə z [end]
[start] Chaha kʼ u m a r [end]	[start] Chaha kʼ ɨ m a r [end]
[start] Chaha b o r ə [end]	[start] Chaha b o r a [end]
[start] Chaha d u b a kʼ u lː a [end]	[start] Chaha d ɨ b a kʼ ɨ l a [end]
[start] Chaha ʔ ə r ə b [end]	[start] Chaha ʔ ə r o [end]
[start] Chaha n ɨ f a s [end]	[start] Chaha ʔ ɨ n f a s [end]
[start] Chaha n ə f ə s ə m [end]	[start] Chaha n ə f ə s ə m [end]
[start] Chaha ʔ a r a [end]	[start] Chaha ʔ ə r a m [end]
[start] Chaha s ə m u t [end]	[start] Chaha s u n t [end]
[start] Chaha ʔ a m b [end]	[start] Chaha ʔ a m ɨ s t [end]
[start] Chaha z ɨ n ə m [end]	[start] Chaha z ɨ r a b [end]
[start] Chaha z ə r ə [end]	[start] Chaha z ə r [end]
[start] Chaha tʼ ə b ə [end]	[start] Chaha t ə p w ə m [end]
[start] Endegagn d ə [end]	[start] Endegagn d ə m [end]
[start] Endegagn ʔ a tʼ ɨ ʔ [end]	[start] Endegagn ʔ a tʼ ɨ m [end]
[start] Endegagn g a m e [end]	[start] Endegagn g ɨ m ə l [end]
[start] Endegagn d a b ə n ə [end]	[start] Endegagn d a w ə n ə [end]
[start] Endegagn n u g u s [end]	[start] Endegagn n u g s [end]
[start] Endegagn b ə ʔ ə r ə [end]	[start] Endegagn b a kʼ u r ə [end]
[start] Endegagn ʔ a tː ə [end]	[start] Endegagn ʔ a tː [end]
[start] Endegagn r u [end]	[start] Endegagn r u z [end]
[start] Endegagn s ə b [end]	[start] Endegagn s ə w ʔ a t [end]
[start] Endegagn ʔ a tʃʼ u r [end]	[start] Endegagn ʔ i ʔ i r [end]
[start] Endegagn s ɨ d u s [end]	[start] Endegagn s ɨ dː ɨ s t [end]
[start] Endegagn ʔ a sː ɨ r [end]	[start] Endegagn ʔ a sː ɨ r [end]
[start] Endegagn s ə w ə s [end]	[start] Endegagn s o s t [end]
[start] Endegagn ʔ a m u s [end]	[start] Endegagn ʔ a m u s [end]
[start] Endegagn m a n [end]	[start] Endegagn m a n [end]
[start] Endegagn d ə bː ə r ə [end]	[start] Endegagn d a pː ə r ə [end]
[start] Endegagn tʼ u b [end]	[start] Endegagn tʼ u w [end]
[start] Endegagn s ə tʃʼ ə [end]	[start] Endegagn s e tʃʼ ə [end]
[start] Endegagn b ə r ə [end]	[start] Endegagn b a w r ə [end]
[start] Endegagn d u b a ʔ ə [end]	[start] Endegagn d ə b a kʼ u l ə [end]
[start] Endegagn ʔ a r ə w [end]	[start] Endegagn ʔ a r b e [end]
[start] Endegagn n u f a s [end]	[start] Endegagn ʔ ɨ n f a s [end]
[start] Endegagn n ə fː ə s ə [end]	[start] Endegagn n ə f ə s ə [end]
[start] Endegagn ʔ a r ə [end]	[start] Endegagn ʔ a n a w [end]
[start] Endegagn z ə r [end]	[start] Endegagn z ə ʔ ə [end]
[start] Endegagn t ə b ə [end]	[start] Endegagn tʼ o pː ə [end]
[start] Ezha d ə m [end]	[start] Ezha d ə m [end]
[start] Ezha ʔ a tʼ ɨ m [end]	[start] Ezha ʔ a tʼ ɨ m [end]
[start] Ezha g a m e [end]	[start] Ezha g a m e r a [end]
[start] Ezha d ə bː ə r ə [end]	[start] Ezha d a b ə r a [end]
[start] Ezha n ɨ g u s [end]	[start] Ezha n ɨ g w ɨ s [end]
[start] Ezha b o kʼ u r [end]	[start] Ezha b u kʼ w ə r ə [end]
[start] Ezha ʔ a tː i [end]	[start] Ezha ʔ a tː [end]
[start] Ezha r u z [end]	[start] Ezha r u z [end]
[start] Ezha s ə b [end]	[start] Ezha s ə b a t [end]
[start] Ezha ʔ a tʃʼ ɨ r [end]	[start] Ezha ʔ a tʃʼ ɨ r [end]
[start] Ezha s ɨ nː ɨ s [end]	[start] Ezha s ɨ d ɨ s t [end]
[start] Ezha ʔ a sː ɨ r [end]	[start] Ezha ʔ a s ɨ [end]
[start] Ezha s ə l ə s [end]	[start] Ezha s o s t [end]
[start] Ezha ʔ a m u s [end]	[start] Ezha ʔ a m u s [end]
[start] Ezha m a nː [end]	[start] Ezha m w a n [end]
[start] Ezha d ə bː ə r ə [end]	[start] Ezha d ə bː ə r ə m [end]
[start] Ezha tʼ u b [end]	[start] Ezha tʼ u w [end]
[start] Ezha s ə tʃʼ ə [end]	[start] Ezha s ə tʃʼ ə [end]
[start] Ezha ʔ ə nː [end]	[start] Ezha ʔ e n [end]
[start] Ezha ʔ a r b ə tː [end]	[start] Ezha ʔ a r b ə t [end]
[start] Ezha m u r a [end]	[start] Ezha m u r a [end]
[start] Ezha f ə r ə z [end]	[start] Ezha f ə r ə z [end]
[start] Ezha kʼ u m a r [end]	[start] Ezha kʼ ɨ m a r [end]
[start] Ezha b o r ə [end]	[start] Ezha b o r a [end]
[start] Ezha d u bː a kʼ u lː a [end]	[start] Ezha d ɨ b a kʼ u lː a [end]
[start] Ezha ʔ ə r o b [end]	[start] Ezha ʔ ə r ə w [end]
[start] Ezha ʔ ɨ nː a s [end]	[start] Ezha n ə f a s [end]
[start] Ezha n ə fː ə s ə m [end]	[start] Ezha n a fː ə s ə m [end]
[start] Ezha ʔ a r a m [end]	[start] Ezha ʔ ə r a m [end]
[start] Ezha s ɨ mː u t [end]	[start] Ezha ʃ ɨ m u t [end]
[start] Ezha ʔ a mː ɨ s [end]	[start] Ezha ʔ a m ɨ s t [end]
[start] Ezha z ɨ nː a b [end]	[start] Ezha z ɨ r a b [end]
[start] Ezha z ə r ə [end]	[start] Ezha z ə r [end]
[start] Ezha tʼ ə bː ə m [end]	[start] Ezha tʼ ə bː w ə m [end]
[start] Geez d ə m [end]	[start] Geez d ə m [end]
[start] Geez ʔ a s ɨ m [end]	[start] Geez ʔ a s m [end]
[start] Geez g ə m e l [end]	[start] Geez g ə m ə l [end]
[start] Geez d ə b ə n [end]	[start] Geez d ə mː ə n a [end]
[start] Geez n ɨ g u s [end]	[start] Geez n ɨ g u s [end]
[start] Geez b o kʼ u l [end]	[start] Geez b ə kʼ l o [end]
[start] Geez ʔ a t [end]	[start] Geez ʔ ə ħ ə d u [end]
[start] Geez r u ʔ ə z u [end]	[start] Geez r u z [end]
[start] Geez s ə b [end]	[start] Geez s ə b ʕ [end]
[start] Geez ħ ə tʃʼ ɨ r [end]	[start] Geez ħ ɨ s ə s [end]
[start] Geez s ə d ɨ s [end]	[start] Geez s ɨ dz [end]
[start] Geez ʔ a sː ɨ r [end]	[start] Geez ʕ ə sʼ r u [end]
[start] Geez s ə l ʔ ə t [end]	[start] Geez sʼ ə l ə s [end]
[start] Geez ħ a m ɨ s [end]	[start] Geez ħ ə m u s [end]
[start] Geez m ə nː [end]	[start] Geez m ə nː u [end]
[start] Geez d ə b ə r ə [end]	[start] Geez d ə mː ə r ə [end]
[start] Geez s ə tʼː ə m [end]	[start] Geez s ə t j ə [end]
[start] Geez ʔ ɨ n t [end]	[start] Geez ʕ ai̯ n [end]
[start] Geez ħ ə r b [end]	[start] Geez ʕ ə r b a ʔ [end]
[start] Geez m ɨ l ʔ ə [end]	[start] Geez m ə l ʔ ə [end]
[start] Geez f ə r ə z [end]	[start] Geez f ə r ə s [end]
[start] Geez kʼ ɨ m ə l [end]	[start] Geez kʼ w ɨ m a l [end]
[start] Geez b o r a j ə [end]	[start] Geez b ɨ ʕ ɨ r [end]
[start] Geez ħ ə r b [end]	[start] Geez r ə b u ʕ [end]
[start] Geez n ɨ fː a s [end]	[start] Geez n ə f a s [end]
