Predicted	Actual
[start] Jerigaon t a ŋ [end]	[start] Jerigaon t a ŋ [end]
[start] Jerigaon k u ŋ [end]	[start] Jerigaon k u ŋ [end]
[start] Jerigaon s uː [end]	[start] Jerigaon s uː [end]
[start] Jerigaon m ɛ n [end]	[start] Jerigaon m ɛ n [end]
[start] Jerigaon z yː [end]	[start] Jerigaon z yː [end]
[start] Jerigaon s [end]	[start] Jerigaon s ə [end]
[start] Jerigaon m uː [end]	[start] Jerigaon m uː [end]
[start] Jerigaon tɕ ø n [end]	[start] Jerigaon tɕ ø n [end]
[start] Jerigaon m uː [end]	[start] Jerigaon m uː [end]
[start] Jerigaon l a [end]	[start] Jerigaon l uː [end]
[start] Jerigaon s a m [end]	[start] Jerigaon s [end]
[start] Jerigaon t øˀ [end]	[start] Jerigaon tʰ øˀ [end]
[start] Jerigaon m ə [end]	[start] Jerigaon m ɛ [end]
[start] Jerigaon kʰ [end]	[start] Jerigaon kʰ [end]
[start] Jerigaon tɕʰ ɔ̃ː ŋ [end]	[start] Jerigaon tɕʰ ɔ̃ː ŋ [end]
[start] Jerigaon m yː [end]	[start] Jerigaon m yː [end]
[start] Jerigaon tɕ iː [end]	[start] Jerigaon tɕʰ i ŋ [end]
[start] Jerigaon dʑ ɛ ŋ [end]	[start] Jerigaon dʑ ɛ ŋ [end]
[start] Jerigaon b a [end]	[start] Jerigaon b [end]
[start] Jerigaon r ɛː [end]	[start] Jerigaon r ɛː [end]
[start] Jerigaon pʰ l iː [end]	[start] Jerigaon pʰ l iː [end]
[start] Jerigaon b ə [end]	[start] Jerigaon b ə [end]
[start] Jerigaon kʰ ɔ k [end]	[start] Jerigaon kʰ ɔ k [end]
[start] Jerigaon u [end]	[start] Jerigaon ə [end]
[start] Jerigaon h ɛ n [end]	[start] Jerigaon h ɛ n [end]
[start] Jerigaon pʰ u ŋ [end]	[start] Jerigaon pʰ u ŋ [end]
[start] Jerigaon tʰ ə [end]	[start] Jerigaon tʰ [end]
[start] Jerigaon kʰ yː [end]	[start] Jerigaon kʰ yː [end]
[start] Jerigaon kʰ ɛ n [end]	[start] Jerigaon kʰ ɛ n [end]
[start] Jerigaon t ɔ̃ː [end]	[start] Jerigaon t ɐ̃ː [end]
[start] Jerigaon m ɛ n [end]	[start] Jerigaon m ɛ n [end]
[start] Jerigaon h ɛ n [end]	[start] Jerigaon h ɛ n [end]
[start] Jerigaon dʑ i [end]	[start] Jerigaon dʑ i [end]
[start] Jerigaon h y [end]	[start] Jerigaon h a [end]
[start] Jerigaon l ɐ k [end]	[start] Jerigaon l ɐ k [end]
[start] Jerigaon s [end]	[start] Jerigaon s ə [end]
[start] Jerigaon w ɐ k [end]	[start] Jerigaon w ɐ k [end]
[start] Jerigaon b a [end]	[start] Jerigaon b a [end]
[start] Jerigaon tɕ ɛˀ [end]	[start] Jerigaon tɕ i [end]
[start] Jerigaon d y k [end]	[start] Jerigaon d y k [end]
[start] Jerigaon s [end]	[start] Jerigaon s u [end]
[start] Jerigaon b ɐ [end]	[start] Jerigaon b ɐ [end]
[start] Jerigaon s ɐ k [end]	[start] Jerigaon s ɐ k [end]
[start] Jerigaon p yː [end]	[start] Jerigaon p yː [end]
[start] Jerigaon h ɔ [end]	[start] Jerigaon n ɐ̃ [end]
[start] Jerigaon r yː [end]	[start] Jerigaon r yː [end]
[start] Jerigaon z yː [end]	[start] Jerigaon z i [end]
[start] Jerigaon m u [end]	[start] Jerigaon m ə [end]
[start] Jerigaon l a [end]	[start] Jerigaon l uː [end]
[start] Jerigaon ɔ [end]	[start] Jerigaon ə [end]
[start] Jerigaon h ɛ k [end]	[start] Jerigaon h ɛ k [end]
[start] Jerigaon tɕ ɔ̃ː [end]	[start] Jerigaon tɕ ɐ̃ː [end]
[start] Jerigaon j u ŋ [end]	[start] Jerigaon j u ŋ [end]
[start] Jerigaon h ɔ̃ː ŋ [end]	[start] Jerigaon h ɔ̃ː [end]
[start] Jerigaon n y k [end]	[start] Jerigaon n y k [end]
[start] Jerigaon h ɔ̃ː ŋ [end]	[start] Jerigaon h u ŋ [end]
[start] Jerigaon ɛ n [end]	[start] Jerigaon ɛ n [end]
[start] Jerigaon l iː [end]	[start] Jerigaon l iː [end]
[start] Jerigaon r ɛː [end]	[start] Jerigaon r ɛː [end]
[start] Jerigaon s ɛ k [end]	[start] Jerigaon s i k [end]
[start] Jerigaon tɕʰ ɔ̃ː [end]	[start] Jerigaon tɕʰ ɔː [end]
[start] Jerigaon k ɛː [end]	[start] Jerigaon kʰ ɛː [end]
[start] Jerigaon r ɛ k [end]	[start] Jerigaon r ɛ k [end]
[start] Jerigaon j ɛ n [end]	[start] Jerigaon w ɛ n [end]
[start] Jerigaon n u ŋ [end]	[start] Jerigaon n u [end]
[start] Jerigaon z uː [end]	[start] Jerigaon z uː [end]
[start] Jerigaon tɕʰ y k [end]	[start] Jerigaon tɕʰ y k [end]
[start] Jerigaon s ɛˀ [end]	[start] Jerigaon s [end]
[start] Jerigaon k ɔ k [end]	[start] Jerigaon kʰ u k [end]
[start] Jerigaon n ə [end]	[start] Jerigaon n ə [end]
[start] Jerigaon m yː [end]	[start] Jerigaon m yː [end]
[start] Jerigaon dʑ i ŋ [end]	[start] Jerigaon dʑ i ŋ [end]
[start] Jerigaon n ɐ̃ [end]	[start] Jerigaon n ɐ̃ [end]
[start] Jerigaon tɕ ɔ̃ː ŋ [end]	[start] Jerigaon tɕ ɐ̃ː n [end]
[start] Jerigaon kʰ yː [end]	[start] Jerigaon kʰ yː [end]
[start] Jerigaon n a [end]	[start] Jerigaon n ə [end]
[start] Jerigaon j yː [end]	[start] Jerigaon j yː [end]
[start] Jerigaon s ɐ [end]	[start] Jerigaon s ɐ [end]
[start] Jerigaon d u [end]	[start] Jerigaon d u [end]
[start] Jerigaon tɕʰ yː [end]	[start] Jerigaon tɕʰ yː [end]
[start] Jerigaon kʰ øː [end]	[start] Jerigaon kʰ ɔː [end]
[start] Jerigaon s u [end]	[start] Jerigaon s y [end]
[start] Jerigaon dʑ ɔ k [end]	[start] Jerigaon j u k [end]
[start] Jerigaon j ɔ ŋ [end]	[start] Jerigaon w u ŋ [end]
[start] Jerigaon t ɛː [end]	[start] Jerigaon t ɛː [end]
[start] Jerigaon tɕʰ ɛ̃ː ŋ [end]	[start] Jerigaon tɕʰ ĩː [end]
[start] Jerigaon j ɔː [end]	[start] Jerigaon j ɔː [end]
[start] Jerigaon r y ŋ [end]	[start] Jerigaon l y ŋ [end]
[start] Jerigaon r a ŋ [end]	[start] Jerigaon r ɔ̃ː ŋ [end]
[start] Jerigaon h i ŋ [end]	[start] Jerigaon h i ŋ [end]
[start] Jerigaon m ai [end]	[start] Jerigaon m ə [end]
[start] Jerigaon tɕʰ iː [end]	[start] Jerigaon tɕʰ iː [end]
[start] Jerigaon n ə [end]	[start] Jerigaon n ə [end]
[start] Jerigaon g yː [end]	[start] Jerigaon g yː [end]
[start] Jerigaon n ɛː [end]	[start] Jerigaon n ɛː [end]
[start] Jerigaon tʰ øː [end]	[start] Jerigaon tʰ øː [end]
[start] Jerigaon tɕʰ ɐ k [end]	[start] Jerigaon tɕʰ ɐ k [end]
[start] Jerigaon dʑ uː [end]	[start] Jerigaon dʑ uː [end]
[start] Jerigaon b l ɐː [end]	[start] Jerigaon b l ɐ [end]
[start] Jerigaon s ɔ̃ː [end]	[start] Jerigaon s ɐ̃ː [end]
[start] Jerigaon kʰ øː [end]	[start] Jerigaon kʰ ɔː [end]
[start] Jerigaon j a ŋ [end]	[start] Jerigaon j ɔ̃ː [end]
[start] Jerigaon pʰ l ɛ [end]	[start] Jerigaon b ə [end]
[start] Jerigaon z ɔˀ [end]	[start] Jerigaon z ɔ [end]
[start] Jerigaon h ɐ ŋ [end]	[start] Jerigaon h a ŋ [end]
[start] Jerigaon u ŋ [end]	[start] Jerigaon u ŋ [end]
[start] Jerigaon h ɐ k [end]	[start] Jerigaon h ɐ k [end]
[start] Jerigaon pʰ ɔ̃ː [end]	[start] Jerigaon pʰ ɔ̃ː [end]
[start] Jerigaon tʰ ɔː [end]	[start] Jerigaon tʰ [end]
[start] Jerigaon r uː [end]	[start] Jerigaon l uː [end]
[start] Jerigaon s a ŋ [end]	[start] Jerigaon s a ŋ [end]
[start] Jerigaon l ɛː [end]	[start] Jerigaon l ɛː [end]
[start] Jerigaon z yː [end]	[start] Jerigaon z yː [end]
[start] Jerigaon kʰ ɐ̃ː [end]	[start] Jerigaon kʰ ɐ̃ː [end]
[start] Jerigaon n i k [end]	[start] Jerigaon n i k [end]
[start] Jerigaon kʰ uː [end]	[start] Jerigaon kʰ uː [end]
[start] Jerigaon z yː [end]	[start] Jerigaon z iː [end]
[start] Jerigaon tʰ y k [end]	[start] Jerigaon tʰ y k [end]
[start] Jerigaon j ɔ [end]	[start] Jerigaon j ɔ [end]
[start] Jerigaon r ɔ [end]	[start] Jerigaon r ɐˀ [end]
[start] Jerigaon m ə [end]	[start] Jerigaon m ə [end]
[start] Jerigaon kʰ uː [end]	[start] Jerigaon kʰ uː [end]
[start] Jerigaon tɕʰ i k [end]	[start] Jerigaon tɕʰ i k [end]
[start] Jerigaon tɕʰ ɛː ŋ [end]	[start] Jerigaon tɕʰ øː n [end]
[start] Jerigaon dʑ a ŋ [end]	[start] Jerigaon dʑ ɐ ŋ [end]
[start] Jerigaon d ɔ̃ː ŋ [end]	[start] Jerigaon d ɔ̃ː ŋ [end]
[start] Jerigaon n iː [end]	[start] Jerigaon n iː [end]
[start] Jerigaon j a [end]	[start] Jerigaon j uː [end]
[start] Jerigaon n a [end]	[start] Jerigaon n ə [end]
[start] Jerigaon s u ŋ [end]	[start] Jerigaon s ø n [end]
[start] Jerigaon k ɔː [end]	[start] Jerigaon k ɔː [end]
[start] Jerigaon dʑ ə [end]	[start] Jerigaon dʑ ə [end]
[start] Jerigaon dʑ ɐ k [end]	[start] Jerigaon dʑ ɐ k [end]
[start] Jerigaon t u ŋ [end]	[start] Jerigaon t u ŋ [end]
[start] Jerigaon w ɛː [end]	[start] Jerigaon w aː [end]
[start] Jerigaon l a ŋ [end]	[start] Jerigaon l a ŋ [end]
[start] Jerigaon dʑ i [end]	[start] Jerigaon dʑ i [end]
[start] Jerigaon n a [end]	[start] Jerigaon n ə [end]
[start] Jerigaon t a [end]	[start] Jerigaon t ɛ n [end]
[start] Jerigaon s a ŋ [end]	[start] Jerigaon s a n [end]
[start] Jerigaon m ɛ k [end]	[start] Jerigaon m i k [end]
[start] Jerigaon m ə [end]	[start] Jerigaon m ə [end]
[start] Jerigaon tɕʰ ə [end]	[start] Jerigaon tɕʰ ə [end]
[start] Jerigaon kʰ ɛˀ [end]	[start] Jerigaon kʰ ø [end]
[start] Jerigaon m a [end]	[start] Jerigaon m uː [end]
[start] Jerigaon tɕʰ ɔ [end]	[start] Jerigaon tɕʰ ɔ [end]
[start] Jerigaon tɕʰ iː [end]	[start] Jerigaon tɕʰ iː [end]
[start] Jerigaon g ə [end]	[start] Jerigaon tɕʰ ɛ ʔ [end]
[start] Jerigaon ɔ [end]	[start] Jerigaon a [end]
[start] Jerigaon n uː [end]	[start] Jerigaon n uː [end]
[start] Jerigaon dʑ ə [end]	[start] Jerigaon dʑ ə [end]
[start] Jerigaon s ə [end]	[start] Jerigaon s ə [end]
[start] Jerigaon b ɛ ŋ [end]	[start] Jerigaon b a [end]
[start] Jerigaon kʰ ɐ̃ː [end]	[start] Jerigaon kʰ ə [end]
[start] Jerigaon k u [end]	[start] Jerigaon k aˀ [end]
[start] Jerigaon n yː [end]	[start] Jerigaon n yː [end]
[start] Jerigaon t u [end]	[start] Jerigaon d u [end]
[start] Jerigaon t yː [end]	[start] Jerigaon t yː [end]
[start] Jerigaon tɕ ɛ n [end]	[start] Jerigaon tɕ ɛ n [end]
[start] Jerigaon r a m [end]	[start] Jerigaon r a n [end]
[start] Jerigaon b ə [end]	[start] Jerigaon b y [end]
[start] Jerigaon yː [end]	[start] Jerigaon yː [end]
[start] Jerigaon tɕ ɐ k [end]	[start] Jerigaon tɕ ɛ k [end]
[start] Jerigaon l u ŋ [end]	[start] Jerigaon l ɛ n [end]
[start] Jerigaon l uː [end]	[start] Jerigaon l u [end]
[start] Jerigaon tʰ ɛ k [end]	[start] Jerigaon s i [end]
[start] Jerigaon kʰ ɔ k [end]	[start] Jerigaon kʰ o k [end]
[start] Jerigaon b a [end]	[start] Jerigaon b uː [end]
[start] Jerigaon ɔ k [end]	[start] Jerigaon y k [end]
[start] Jerigaon j ɔ ŋ [end]	[start] Jerigaon j u ŋ [end]
[start] Jerigaon k ə [end]	[start] Jerigaon tɕ ə [end]
[start] Jerigaon tɕʰ ɐ̃ [end]	[start] Jerigaon tɕʰ ɐ̃ [end]
[start] Jerigaon m yː [end]	[start] Jerigaon m iː [end]
[start] Jerigaon dʑ ɔ k [end]	[start] Jerigaon dʑ ɔ k [end]
[start] Jerigaon b ɔː [end]	[start] Jerigaon b ɔː [end]
[start] Jerigaon h ɛː [end]	[start] Jerigaon h ɛ̃ː [end]
[start] Jerigaon pʰ ɐ k [end]	[start] Jerigaon pʰ l ɐ k [end]
[start] Jerigaon tɕʰ ɛ [end]	[start] Jerigaon tɕʰ i [end]
[start] Jerigaon m a ŋ [end]	[start] Jerigaon m ɔ ɹ [end]
[start] Jerigaon d ə [end]	[start] Jerigaon d [end]
[start] Jerigaon r ɐː [end]	[start] Jerigaon r ɔ [end]
[start] Jerigaon dʑ a [end]	[start] Jerigaon dʑ ɛˀ [end]
[start] Jerigaon z a n [end]	[start] Jerigaon z ɛ n [end]
[start] Jerigaon m iː [end]	[start] Jerigaon m i ŋ [end]
[start] Jerigaon kʰ u [end]	[start] Jerigaon kʰ [end]
[start] Jerigaon tɕʰ iː [end]	[start] Jerigaon tɕʰ iː [end]
[start] Jerigaon dʑ a ŋ [end]	[start] Jerigaon dʑ ɔ ŋ [end]
[start] Jerigaon r u k [end]	[start] Jerigaon r u ŋ [end]
[start] Jerigaon n u ŋ [end]	[start] Jerigaon n u [end]
[start] Jerigaon tɕʰ ɛ̃ĩ [end]	[start] Jerigaon s ɛ̃ĩ [end]
[start] Jerigaon z ə [end]	[start] Jerigaon z ə [end]
[start] Jerigaon d u ŋ [end]	[start] Jerigaon d u ŋ [end]
[start] Jerigaon tʰ ɛ k [end]	[start] Jerigaon tʰ i k [end]
[start] Jerigaon tʰ ə [end]	[start] Jerigaon tʰ ə [end]
[start] Jerigaon tɕʰ ɐ [end]	[start] Jerigaon tɕʰ ɐ [end]
[start] Jerigaon ai [end]	[start] Jerigaon j ɛˀ [end]
[start] Jerigaon s [end]	[start] Jerigaon s [end]
[start] Jerigaon l a [end]	[start] Jerigaon l a [end]
[start] Jerigaon pʰ ɐ k [end]	[start] Jerigaon pʰ a [end]
[start] Jerigaon d y ŋ [end]	[start] Jerigaon d y ŋ [end]
[start] Jerigaon d u [end]	[start] Jerigaon d u [end]
[start] Jerigaon s u ŋ [end]	[start] Jerigaon z a ŋ [end]
[start] Jerigaon u [end]	[start] Jerigaon a [end]
[start] Jerigaon kʰ ɐ [end]	[start] Jerigaon kʰ ɐ [end]
[start] Jerigaon tʰ a t [end]	[start] Jerigaon tʰ ɛ ʔ [end]
[start] Jerigaon pʰ ɛˀ [end]	[start] Jerigaon pʰ l uː [end]
[start] Jerigaon tɕʰ a [end]	[start] Jerigaon tɕʰ ɛˀ [end]
[start] Jerigaon d ɛ [end]	[start] Jerigaon d ɛː [end]
[start] Jerigaon h ə [end]	[start] Jerigaon n ə [end]
[start] Jerigaon tʰ y ŋ [end]	[start] Jerigaon tʰ y ŋ [end]
[start] Jerigaon tɕʰ ɔ̃ː ŋ [end]	[start] Jerigaon dʑ ɔ̃ː ŋ [end]
[start] Jerigaon r ɐ k [end]	[start] Jerigaon r ɐ k [end]
[start] Jerigaon tɕ y ŋ [end]	[start] Jerigaon tɕ y ŋ [end]
[start] Jerigaon dʑ ɐː [end]	[start] Jerigaon d y [end]
[start] Jerigaon j ɔː [end]	[start] Jerigaon j ɔː [end]
[start] Jerigaon dʑ y [end]	[start] Jerigaon dʑ i [end]
[start] Jerigaon dʑ i [end]	[start] Jerigaon dʑ i [end]
[start] Jerigaon l i ŋ [end]	[start] Jerigaon l y ŋ [end]
[start] Jerigaon z y k [end]	[start] Jerigaon z y k [end]
[start] Jerigaon pʰ l ɛ s [end]	[start] Jerigaon pʰ ɛ ʔ [end]
[start] Jerigaon s u ŋ [end]	[start] Jerigaon s u ŋ [end]
[start] Jerigaon pʰ l ɛ [end]	[start] Jerigaon b a [end]
[start] Jerigaon m ɐ k [end]	[start] Jerigaon w ɐ k [end]
[start] Jerigaon a [end]	[start] Jerigaon a [end]
[start] Jerigaon g eː [end]	[start] Jerigaon dʑ eː [end]
[start] Jerigaon tɕʰ a m [end]	[start] Jerigaon tɕʰ a m [end]
[start] Jerigaon s a ŋ [end]	[start] Jerigaon s a ŋ [end]
[start] Jerigaon s ə [end]	[start] Jerigaon s [end]
[start] Jerigaon s uː [end]	[start] Jerigaon s uː [end]
[start] Jerigaon g yː [end]	[start] Jerigaon dʑ r yː [end]
[start] Jerigaon z ɛ [end]	[start] Jerigaon z ɛ ʔ [end]
[start] Jerigaon tʰ ɔ̃ ŋ [end]	[start] Jerigaon tʰ [end]
[start] Jerigaon r iː [end]	[start] Jerigaon r yː [end]
[start] Jerigaon i k [end]	[start] Jerigaon i k [end]
[start] Jerigaon s [end]	[start] Jerigaon s u [end]
[start] Jerigaon tʰ ɔ ŋ [end]	[start] Jerigaon tʰ ɔ ŋ [end]
[start] Jerigaon j ɛː [end]	[start] Jerigaon j aː [end]
[start] Jerigaon b yː [end]	[start] Jerigaon b yː [end]
[start] Jerigaon tɕʰ ɔ̃ː [end]	[start] Jerigaon tɕʰ ɐ̃ː [end]
[start] Jerigaon h u ŋ [end]	[start] Jerigaon h u ŋ [end]
[start] Jerigaon m ə [end]	[start] Jerigaon m ə [end]
[start] Jerigaon pʰ ə [end]	[start] Jerigaon pʰ ə [end]
[start] Jerigaon m ə [end]	[start] Jerigaon m u [end]
[start] Jerigaon s ɐ k [end]	[start] Jerigaon s ɛˀ [end]
[start] Jerigaon z øː [end]	[start] Jerigaon dʑ øː [end]
[start] Jerigaon ɔ [end]	[start] Jerigaon ɔ [end]
[start] Jerigaon z yː [end]	[start] Jerigaon z yː [end]
[start] Jerigaon s ə [end]	[start] Jerigaon s ə [end]
[start] Jerigaon tʰ ɔ [end]	[start] Jerigaon tʰ [end]
[start] Jerigaon z u ŋ [end]	[start] Jerigaon z ø n [end]
[start] Jerigaon l y ŋ [end]	[start] Jerigaon l y ŋ [end]
[start] Jerigaon l ɛː [end]	[start] Jerigaon l ɛː [end]
[start] Jerigaon tɕ ĩˀ [end]	[start] Jerigaon s ɛ̃ĩ [end]
[start] Jerigaon tɕʰ yː [end]	[start] Jerigaon tɕʰ yː [end]
[start] Jerigaon z ə [end]	[start] Jerigaon z ə [end]
[start] Jerigaon tɕʰ ɛ̃ː k [end]	[start] Jerigaon tɕʰ i k [end]
[start] Jerigaon h ɛ [end]	[start] Jerigaon h e [end]
[start] Jerigaon l ɐ k [end]	[start] Jerigaon l ɐ k [end]
[start] Jerigaon t ɛˀ [end]	[start] Jerigaon t eˀ [end]
[start] Jerigaon dʑ ə [end]	[start] Jerigaon dʑ ə [end]
[start] Jerigaon g ə [end]	[start] Jerigaon kʰ [end]
[start] Jerigaon tɕ a m [end]	[start] Jerigaon tɕ ɛ n [end]
[start] Jerigaon h ɛˀ [end]	[start] Jerigaon h a [end]
[start] Jerigaon h ə [end]	[start] Jerigaon n ə [end]
[start] Khispi g a s [end]	[start] Khispi g a [end]
[start] Khispi n a [end]	[start] Khispi n a [end]
[start] Khispi tʰ e s [end]	[start] Khispi tʰ e [end]
[start] Khispi n a ŋ [end]	[start] Khispi n a ŋ [end]
[start] Khispi dʑ i [end]	[start] Khispi b i [end]
[start] Khispi l a [end]	[start] Khispi l ɔ [end]
[start] Khispi a [end]	[start] Khispi u [end]
[start] Khispi ɕ a [end]	[start] Khispi s i [end]
[start] Khispi kʰ u ŋ [end]	[start] Khispi kʰ u ŋ [end]
[start] Khispi dʑ ɔ k [end]	[start] Khispi tɕʰ ɔ k [end]
[start] Khispi tɕʰ a [end]	[start] Khispi tɕʰ u [end]
[start] Khispi pʰ l u [end]	[start] Khispi pʰ a [end]
[start] Khispi h a s [end]	[start] Khispi pʰ a [end]
[start] Khispi m a [end]	[start] Khispi m ei [end]
[start] Khispi pʰ ɔ s [end]	[start] Khispi pʰ ɔ k [end]
[start] Khispi d a [end]	[start] Khispi d au [end]
[start] Khispi h a s [end]	[start] Khispi l a [end]
[start] Khispi pʰ a m [end]	[start] Khispi pʰ o [end]
[start] Khispi s a [end]	[start] Khispi ɕ a [end]
[start] Khispi t ɔ ŋ [end]	[start] Khispi tʰ ɔ m [end]
[start] Khispi d a [end]	[start] Khispi t a [end]
[start] Khispi a [end]	[start] Khispi a [end]
[start] Khispi tʰ ɔ s [end]	[start] Khispi tʰ ɔ k [end]
[start] Khispi ɕ i [end]	[start] Khispi h i [end]
[start] Khispi l i ŋ [end]	[start] Khispi n i ŋ [end]
[start] Khispi m a [end]	[start] Khispi b u [end]
[start] Khispi kʰ a k [end]	[start] Khispi kʰ a k [end]
[start] Khispi a [end]	[start] Khispi ɔ [end]
[start] Khispi d ɔ k [end]	[start] Khispi d ɔ k [end]
[start] Khispi h a [end]	[start] Khispi h w a [end]
[start] Khispi tɕʰ a k [end]	[start] Khispi tɕʰ a k [end]
[start] Khispi tɕʰ a m [end]	[start] Khispi tɕʰ a m [end]
[start] Khispi h ui [end]	[start] Khispi h ui [end]
[start] Khispi w i s [end]	[start] Khispi h u t [end]
[start] Khispi ɕ a [end]	[start] Khispi ɕ a [end]
[start] Khispi kʰ a n [end]	[start] Khispi kʰ ɛ n [end]
[start] Khispi k u s [end]	[start] Khispi kʰ u s [end]
[start] Khispi l i [end]	[start] Khispi l i [end]
[start] Khispi ɲ i [end]	[start] Khispi ɲ u [end]
[start] Khispi pʰ a ŋ [end]	[start] Khispi pʰ a [end]
[start] Khispi ɲ u ŋ [end]	[start] Khispi ɲ u ŋ [end]
[start] Khispi b u k [end]	[start] Khispi b u k [end]
[start] Khispi t ai [end]	[start] Khispi tʰ ɔ n [end]
[start] Khispi l ui [end]	[start] Khispi l ei [end]
[start] Khispi m a [end]	[start] Khispi m a [end]
[start] Khispi kʰ u n [end]	[start] Khispi g u n [end]
[start] Khispi ts ɔ ŋ [end]	[start] Khispi ts u n [end]
[start] Khispi h ai [end]	[start] Khispi h ai [end]
[start] Khispi m a l [end]	[start] Khispi m a l [end]
[start] Khispi tɕʰ ui [end]	[start] Khispi ɕ ei [end]
[start] Khispi kʰ a n [end]	[start] Khispi kʰ a l [end]
[start] Khispi tɕʰ i [end]	[start] Khispi kʰ i [end]
[start] Khispi kʰ a n [end]	[start] Khispi kʰ ɔ [end]
[start] Khispi tʰ ɔ ŋ [end]	[start] Khispi tʰ ɔ ŋ [end]
[start] Khispi b u [end]	[start] Khispi b u [end]
[start] Khispi ɲ a m [end]	[start] Khispi ɲ a ŋ [end]
[start] Khispi b u [end]	[start] Khispi b u [end]
[start] Khispi tɕʰ e [end]	[start] Khispi kʰ i p [end]
[start] Khispi h a [end]	[start] Khispi h w a [end]
[start] Khispi tɕʰ ui [end]	[start] Khispi kʰ i [end]
[start] Khispi m a ŋ [end]	[start] Khispi m a ŋ [end]
[start] Khispi tɕʰ a k [end]	[start] Khispi ɕ a k [end]
[start] Khispi j t [end]	[start] Khispi w a t [end]
[start] Khispi n a s [end]	[start] Khispi t a s [end]
[start] Khispi b a s [end]	[start] Khispi b e [end]
[start] Khispi r ai [end]	[start] Khispi l ɔː [end]
[start] Khispi g j ɛ s [end]	[start] Khispi g a ŋ [end]
[start] Khispi tʰ a s [end]	[start] Khispi tʰ a k [end]
[start] Khispi tɕʰ e [end]	[start] Khispi kʰ i p [end]
[start] Khispi m a m [end]	[start] Khispi m ɛ m [end]
[start] Khispi b ɔ ŋ [end]	[start] Khispi b ɔ ŋ [end]
[start] Khispi d a [end]	[start] Khispi d a [end]
[start] Khispi m i [end]	[start] Khispi m u [end]
[start] Khispi a [end]	[start] Khispi u [end]
[start] Khispi l i n [end]	[start] Khispi l ɔu [end]
[start] Khispi tɕ i s [end]	[start] Khispi k i [end]
[start] Khispi h i [end]	[start] Khispi n i [end]
[start] Khispi ɕ i [end]	[start] Khispi ɕ i [end]
[start] Khispi i s [end]	[start] Khispi i [end]
[start] Khispi l a [end]	[start] Khispi l i [end]
[start] Khispi tʰ a [end]	[start] Khispi tʰ i [end]
[start] Khispi k ɔː [end]	[start] Khispi k u [end]
[start] Khispi b a n [end]	[start] Khispi b ɛ ŋ [end]
[start] Khispi ɲ i n [end]	[start] Khispi ɲ i ŋ [end]
[start] Khispi a l [end]	[start] Khispi a l [end]
[start] Khispi kʰ ɔu [end]	[start] Khispi kʰ u [end]
[start] Khispi tʰ u ŋ [end]	[start] Khispi tʰ u ŋ [end]
[start] Khispi tɕʰ ɔ [end]	[start] Khispi tɕʰ a [end]
[start] Khispi a [end]	[start] Khispi ɔ [end]
[start] Khispi m a n [end]	[start] Khispi b a n [end]
[start] Khispi tʰ ai [end]	[start] Khispi tʰ u [end]
[start] Khispi s a ɹ [end]	[start] Khispi s a ɹ [end]
[start] Khispi g a s [end]	[start] Khispi g ɛː [end]
[start] Khispi l ɔ k [end]	[start] Khispi l ɔ k [end]
[start] Khispi ɕ a s [end]	[start] Khispi ɕ ɛ t [end]
[start] Khispi kʰ a [end]	[start] Khispi kʰ u [end]
[start] Khispi j ai [end]	[start] Khispi j u [end]
[start] Khispi m a [end]	[start] Khispi m a [end]
[start] Khispi d a ŋ [end]	[start] Khispi d a ŋ [end]
[start] Khispi s a m [end]	[start] Khispi s u m [end]
[start] Khispi l e k [end]	[start] Khispi l ɛ k [end]
[start] Khispi i s [end]	[start] Khispi h u t [end]
[start] Khispi b a [end]	[start] Khispi b ei [end]
[start] Khispi b a [end]	[start] Khispi b u [end]
[start] Khispi ɲ ɔ ŋ [end]	[start] Khispi ŋ a [end]
[start] Khispi k a s [end]	[start] Khispi kʰ a [end]
[start] Khispi h ui [end]	[start] Khispi pʰ ui [end]
[start] Khispi tɕʰ a l [end]	[start] Khispi ɕ ɛ l [end]
[start] Khispi b a [end]	[start] Khispi p [end]
[start] Khispi ɕ i [end]	[start] Khispi ɕ i [end]
[start] Khispi t a [end]	[start] Khispi t a [end]
[start] Khispi n a m [end]	[start] Khispi n a m [end]
[start] Khispi b a s [end]	[start] Khispi b a [end]
[start] Khispi pʰ i ŋ [end]	[start] Khispi p ɕ i ŋ [end]
[start] Khispi tɕʰ i [end]	[start] Khispi ɕ i [end]
[start] Khispi ɔ ŋ [end]	[start] Khispi ɔ ŋ [end]
[start] Khispi s e [end]	[start] Khispi s ɛ l [end]
[start] Khispi j ai [end]	[start] Khispi j i [end]
[start] Khispi j a ŋ [end]	[start] Khispi j a ŋ [end]
[start] Khispi s a [end]	[start] Khispi ɕ a [end]
[start] Khispi g ɔ s [end]	[start] Khispi kʰ u [end]
[start] Khispi z a ŋ [end]	[start] Khispi ɕ a ŋ [end]
[start] Khispi l u ŋ [end]	[start] Khispi l u ŋ [end]
[start] Khispi l i [end]	[start] Khispi l i [end]
[start] Khispi u k [end]	[start] Khispi u k [end]
[start] Khispi kʰ ɛ ŋ [end]	[start] Khispi kʰ ɛ ŋ [end]
[start] Khispi ɕ s [end]	[start] Khispi ɕ [end]
[start] Khispi w a m [end]	[start] Khispi w a m [end]
[start] Khispi a [end]	[start] Khispi a [end]
[start] Khispi dʑ i s [end]	[start] Khispi b u [end]
